Data Size(KB),No. Tags,Launch Time,Init ,Decryption key generation,Encryption of KP-ABE,Encrypt of Payload by Pub,Interests Encryption,Permutation Time on Sub,Encrypt Of Tags,Hash Table Creation,Search and  decryption time on B1,PRP reverse B2,Evaluation of tree by B3,Decryption of KP-ABE,Decryption of Payload by sub,Total Time without Init,Total Time,
32768,116,5.49436e+06,154.757,1.96608,309.064,98.6061,0.38912,0.06656,0.18432,0.07168,0.16896,0.00512,0.01024,11.6787,96.4966,516.741,673.464,
65536,2,5.62082e+06,5.51936,0.03072,25.8509,197.581,0.03072,0,0,0,0.01536,0,0,20.4698,192.768,436.715,442.265,
65536,3,5.75909e+06,6.83009,0.04608,28.4672,197.458,0.01536,0.00512,0,0.00512,0.01024,0.00512,0,20.4902,192.701,439.158,446.034,
65536,4,5.89774e+06,8.14592,0.07168,31.0272,197.443,0.0256,0.00512,0.00512,0.01024,0.01024,0,0,20.4646,192.492,441.482,449.7,
65536,5,6.03669e+06,9.45665,0.14848,33.5104,197.432,0.0256,0.00512,0.01536,0.02048,0.00512,0,0,19.1949,193.178,443.387,452.992,
65536,6,6.17603e+06,10.7776,0.11776,36.1575,197.524,0.03584,0.00512,0,0.01536,0.01536,0,0,20.5466,192.579,446.879,457.774,
65536,7,6.31583e+06,12.0576,0.11776,38.6509,197.494,0.03584,0.00512,0.01536,0.01536,0.0256,0.01024,0.00512,20.4544,192.466,449.177,461.353,
65536,8,6.45604e+06,13.44,0.128,41.2672,197.33,0.04608,0,0.01024,0.01024,0.01536,0,0,20.521,192.773,451.973,465.541,
65536,9,6.59659e+06,14.7303,0.16384,43.9296,197.386,0.04096,0,0.01536,0.01024,0.0256,0.00512,0,20.5465,192.599,454.559,469.453,
65536,10,6.73832e+06,16.3021,0.2048,47.3702,199.808,0.06144,0.00512,0.01024,0.01024,0.03584,0,0.01024,20.9357,195.615,463.862,480.369,
65536,11,6.88094e+06,17.367,0.1792,49.2083,197.463,0.04096,0.01536,0.01536,0.02048,0.01024,0.00512,0.00512,20.8333,193.664,461.281,478.827,
65536,12,7.02294e+06,18.7136,0.19456,52.0089,197.944,0.03072,0.00512,0.03072,0.01536,0.03072,0.00512,0,20.9357,193.761,464.768,483.676,
65536,13,7.16544e+06,20.0141,0.22016,54.3129,197.514,0.0512,0.0256,0.01536,0.02048,0.03584,0.00512,0,19.3024,193.326,464.609,484.843,
65536,14,7.30799e+06,21.3402,0.21504,56.7347,197.463,0.09728,0.0256,0.0256,0.00512,0.02048,0,0,20.5824,193.357,468.311,489.867,
65536,15,7.45093e+06,22.6714,0.22528,59.4073,197.422,0.08192,0,0.02048,0.01024,0.03072,0.00512,0.01024,20.6029,192.947,470.538,493.435,
65536,16,7.59427e+06,23.8797,0.3328,61.8803,197.453,0.05632,0.01024,0.03072,0.00512,0.03584,0,0.01536,20.6438,193.08,473.211,497.424,
65536,17,7.73802e+06,25.216,0.29696,64.4608,197.473,0.13824,0.00512,0.0512,0.01024,0.04096,0,0,20.6285,192.471,475.28,500.792,
65536,18,7.88216e+06,26.5523,0.33792,67.0874,197.514,0.08704,0.0256,0.0512,0.00512,0.03584,0.00512,0,20.6387,193.434,478.884,505.774,
65536,19,8.02674e+06,27.904,0.3072,69.5859,197.432,0.1024,0.01024,0.0256,0.01024,0.0256,0,0.00512,20.6387,193.265,481.101,509.312,
65536,20,8.17172e+06,29.2096,0.34816,72.2227,197.571,0.1024,0.02048,0.02048,0.01536,0.0512,0,0,20.6131,193.203,483.82,513.377,
65536,70,8.32648e+06,94.6842,1.2032,200.684,197.412,0.19456,0.05632,0.128,0.03072,0.13824,0.01024,0.01024,20.5977,193.019,612.28,708.168,
65536,80,8.4931e+06,107.817,1.32608,226.391,197.453,0.29696,0.04096,0.13312,0.03072,0.12288,0.01024,0.02048,20.6182,193.111,638.229,747.371,
65536,90,8.66363e+06,120.893,1.57184,252.099,197.627,0.22016,0.08704,0.128,0.0512,0.14336,0.02048,0,20.6234,192.676,663.675,786.14,
65536,100,8.8381e+06,133.929,1.67936,277.944,197.366,0.3584,0.08192,0.11264,0.08192,0.18432,0,0.01024,20.5414,193.229,689.91,825.518,
65536,110,9.01645e+06,146.893,1.90464,303.811,197.489,0.37888,0.04096,0.16384,0.09216,0.12288,0.03072,0,20.5926,192.573,715.295,864.093,
65536,116,9.19782e+06,154.982,1.9456,319.027,197.55,0.34816,0.06144,0.24576,0.06144,0.17408,0,0,20.5107,192.86,730.839,887.767,
131072,2,9.42677e+06,5.55008,0.03072,43.8579,394.813,0.03072,0.01024,0,0.01024,0.01024,0.01024,0,37.9597,385.208,861.911,867.492,
131072,3,9.70115e+06,6.8096,0.08192,46.5306,394.865,0.02048,0.01024,0,0.01024,0,0,0,38.0211,384.379,863.837,870.727,
131072,4,9.97591e+06,8.11008,0.04096,48.9165,395.264,0.01024,0,0.02048,0,0,0,0,38.0416,384.635,866.888,875.039,
131072,5,1.02512e+07,9.5232,0.07168,51.6608,395.049,0.02048,0,0,0.01024,0.01024,0,0,36.7923,384.87,868.413,878.009,
131072,6,1.05268e+07,10.7622,0.1536,54.0979,394.875,0.03072,0.02048,0.01024,0.01024,0.03072,0,0,38.1542,384.686,871.915,882.831,
131072,7,1.08027e+07,12.0934,0.07168,56.832,394.885,0.04096,0.01024,0,0,0.02048,0,0,38.0928,384.317,874.199,886.364,
131072,8,1.10791e+07,13.4349,0.08192,59.3408,395.049,0.02048,0,0.01024,0.01024,0.01024,0,0.01024,38.103,384.87,877.425,890.941,
131072,9,1.13559e+07,14.6739,0.12288,61.952,395.008,0.02048,0,0.02048,0,0.02048,0,0,38.0928,385.004,880.118,894.915,
131072,10,1.16331e+07,16.0358,0.2048,64.4813,395.08,0.04096,0.01024,0.03072,0.04096,0,0,0,38.0006,385.352,883.036,899.277,
131072,11,1.19107e+07,17.3773,0.22528,67.031,394.834,0.0512,0,0.01024,0.01024,0.06144,0,0,38.0826,384.922,885.002,902.605,
131072,12,1.21888e+07,18.6061,0.16384,69.7651,395.059,0.0512,0,0.02048,0.01024,0.03072,0,0,38.0518,384.983,887.971,906.742,
131072,13,1.24671e+07,20.1114,0.19456,72.2432,395.039,0.02048,0.01024,0.06144,0.02048,0.02048,0,0,36.7821,385.014,889.21,909.517,
131072,14,1.2746e+07,21.3402,0.21504,74.8134,394.987,0.0512,0.02048,0,0,0.06144,0,0,38.2054,385.321,893.461,915.015,
131072,15,1.30252e+07,22.6816,0.26624,77.3837,394.895,0.06144,0.01024,0.04096,0.01024,0.04096,0,0.02048,38.0621,385.372,895.898,918.846,
131072,16,1.33048e+07,23.9821,0.24576,79.9642,395.141,0.04096,0.03072,0.03072,0.03072,0.02048,0.01024,0,38.1747,385.065,898.509,922.737,
131072,17,1.35847e+07,25.4566,0.2048,82.5241,394.854,0.03072,0.01024,0.01024,0.04096,0.04096,0.01024,0.02048,38.2771,384.983,900.802,926.464,
131072,18,1.38651e+07,26.6445,0.28672,85.0739,395.039,0.11264,0,0.02048,0.02048,0.01024,0,0,38.1645,385.372,903.814,930.744,
131072,19,1.4146e+07,27.8733,0.36864,87.6544,395.203,0.08192,0.03072,0.01024,0.01024,0.07168,0,0,38.1338,384.963,906.159,934.4,
131072,20,1.44272e+07,29.2762,0.24576,90.2554,394.906,0.08192,0.01024,0.02048,0.02048,0.03072,0.01024,0,38.1338,384.184,907.654,937.175,
131072,70,1.47182e+07,94.7609,1.15712,218.839,394.926,0.2048,0.04096,0.11264,0.06144,0.12288,0,0,38.0928,385.72,1038.12,1134.04,
131072,80,1.50211e+07,107.858,1.37216,244.582,394.926,0.32768,0.04096,0.1024,0.01024,0.16384,0,0,38.0928,384.727,1062.97,1172.2,
131072,90,1.53277e+07,120.934,1.55648,270.141,394.865,0.34816,0.02048,0.17408,0.0512,0.14336,0,0.01024,38.1133,384.42,1088.29,1210.78,
131072,100,1.56381e+07,134.042,1.6896,295.322,394.998,0.32768,0.04096,0.16384,0.02048,0.11264,0,0.02048,38.2259,384.256,1113.49,1249.22,
131072,110,1.59524e+07,147.118,1.88416,321.157,394.936,0.3072,0.04096,0.17408,0.03072,0.256,0,0.02048,38.0825,385.085,1140.09,1289.09,
131072,116,1.627e+07,154.993,1.93536,336.773,394.793,0.4096,0.08192,0.21504,0.02048,0.12288,0,0.02048,38.1133,384.707,1155.26,1312.18,
